query,group,time,value
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:10:00.000Z,19388300
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:15:00.000Z,17531830
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:20:00.000Z,17512140
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:25:00.000Z,20962700
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:30:00.000Z,22379760
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:35:00.000Z,17898810
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:40:00.000Z,17740050
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:45:00.000Z,18415150
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:50:00.000Z,17909190
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T16:55:00.000Z,26570210
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:00:00.000Z,20348430
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:05:00.000Z,17184650
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:10:00.000Z,20350720
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:15:00.000Z,19442410
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:20:00.000Z,23559390
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:25:00.000Z,19835900
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:30:00.000Z,34483940
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:35:00.000Z,20758210
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:40:00.000Z,11915510
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:45:00.000Z,10048510
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:50:00.000Z,8630191
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T17:55:00.000Z,8710658
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:00:00.000Z,7568340
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:05:00.000Z,6280465
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:10:00.000Z,6420753
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:15:00.000Z,5207518
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:20:00.000Z,4693030
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:25:00.000Z,4388459
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:30:00.000Z,4830476
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:35:00.000Z,4453934
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:40:00.000Z,3808092
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:45:00.000Z,3189867
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:50:00.000Z,3590287
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T18:55:00.000Z,3282172
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:00:00.000Z,2868120
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:05:00.000Z,2982870
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:10:00.000Z,2456512
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:15:00.000Z,1735735
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:20:00.000Z,1688233
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:25:00.000Z,1767959
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:30:00.000Z,1772793
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:35:00.000Z,1851962
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:40:00.000Z,1818917
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:45:00.000Z,1500718
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:50:00.000Z,1889861
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T19:55:00.000Z,2059632
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:00:00.000Z,1129092
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:05:00.000Z,897250
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:10:00.000Z,780771
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:15:00.000Z,765399
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:20:00.000Z,579480
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:25:00.000Z,714740
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:30:00.000Z,703844
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:35:00.000Z,696520
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:40:00.000Z,566546
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:45:00.000Z,479569
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:50:00.000Z,442529
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T20:55:00.000Z,471493
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:00:00.000Z,394541
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:05:00.000Z,375392
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:10:00.000Z,380027
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:15:00.000Z,332565
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:20:00.000Z,376252
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:25:00.000Z,370866
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:30:00.000Z,339323
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:35:00.000Z,334995
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:40:00.000Z,326986
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:45:00.000Z,345144
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:50:00.000Z,327929
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T21:55:00.000Z,295421
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:00:00.000Z,258576
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:05:00.000Z,416489
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:10:00.000Z,312656
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:15:00.000Z,495809
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:20:00.000Z,297048
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:25:00.000Z,299699
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:30:00.000Z,394322
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:35:00.000Z,396296
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-11T22:40:00.000Z,386441
