query,group,time,value
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:00:00.000Z,18774980
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:05:00.000Z,22402750
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:10:00.000Z,17862100
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:15:00.000Z,27480090
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:20:00.000Z,24744920
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:25:00.000Z,28696720
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:30:00.000Z,35733420
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:35:00.000Z,21631980
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:40:00.000Z,44506368
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:45:00.000Z,37845700
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:50:00.000Z,19271110
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T15:55:00.000Z,15649020
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:00:00.000Z,16983680
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:05:00.000Z,17422410
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:10:00.000Z,20614780
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:15:00.000Z,19944010
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:20:00.000Z,18624370
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:25:00.000Z,21674460
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:30:00.000Z,23488180
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:35:00.000Z,19381780
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:40:00.000Z,26390180
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:45:00.000Z,20817250
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:50:00.000Z,25165800
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T16:55:00.000Z,20127390
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:00:00.000Z,23875450
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:05:00.000Z,18824170
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:10:00.000Z,19259240
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:15:00.000Z,28194560
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:20:00.000Z,19049010
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:25:00.000Z,17473210
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:30:00.000Z,16233470
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:35:00.000Z,16198100
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:40:00.000Z,25271920
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:45:00.000Z,37139848
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:50:00.000Z,19446020
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T17:55:00.000Z,11944830
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:00:00.000Z,9534848
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:05:00.000Z,9214229
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:10:00.000Z,7259173
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:15:00.000Z,6081419
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:20:00.000Z,5776482
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:25:00.000Z,5093303
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:30:00.000Z,5135299
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:35:00.000Z,4479988
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:40:00.000Z,4207214
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:45:00.000Z,3935633
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:50:00.000Z,3336607
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T18:55:00.000Z,3431999
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:00:00.000Z,3072296
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:05:00.000Z,2897747
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:10:00.000Z,2620494
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:15:00.000Z,2044630
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:20:00.000Z,1898653
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:25:00.000Z,1991347
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:30:00.000Z,2043934
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T19:35:00.000Z,1850330
